,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,label
0,20,9,491,0,2,0.0,1.0,0.0,25,0.17,0.03,0.0,0
1,44,9,146,0,13,0.0,0.08,0.15,1,0.0,0.6,0.0,0
2,49,5,0,0,123,1.0,0.05,0.07,26,0.1,0.05,1.0,1
3,24,9,232,8153,5,0.2,1.0,0.0,255,1.0,0.0,0.03,0
4,24,9,199,420,30,0.0,1.0,0.0,255,1.0,0.0,0.0,0
5,49,1,0,0,121,0.0,0.16,0.06,19,0.07,0.07,0.0,1
6,49,5,0,0,166,1.0,0.05,0.06,9,0.04,0.05,1.0,1
7,49,5,0,0,117,1.0,0.14,0.06,15,0.06,0.07,1.0,1
8,51,5,0,0,270,1.0,0.09,0.05,23,0.09,0.05,1.0,1
9,49,5,0,0,133,1.0,0.06,0.06,13,0.05,0.06,1.0,1
10,49,1,0,0,205,0.0,0.06,0.06,12,0.05,0.07,0.0,1
11,49,5,0,0,199,1.0,0.02,0.06,13,0.05,0.07,1.0,1
12,24,9,287,2251,3,0.0,1.0,0.0,219,1.0,0.0,0.0,0
13,20,9,334,0,2,0.0,1.0,0.0,20,1.0,0.0,0.0,1
14,36,5,0,0,233,1.0,0.0,0.06,1,0.0,0.07,1.0,1
15,38,5,0,0,96,1.0,0.17,0.05,2,0.01,0.06,1.0,1
16,24,9,300,13788,8,0.0,1.0,0.0,255,1.0,0.0,0.0,0
17,14,9,18,0,1,0.0,1.0,0.0,16,1.0,0.0,0.0,1
18,24,9,233,616,3,0.0,1.0,0.0,255,1.0,0.0,0.0,0
19,24,9,343,1178,9,0.0,1.0,0.0,255,1.0,0.0,0.0,0
20,35,5,0,0,223,1.0,0.1,0.05,23,0.09,0.05,1.0,1
21,49,5,0,0,280,1.0,0.06,0.05,17,0.07,0.06,0.99,1
22,24,9,253,11905,8,0.0,1.0,0.0,255,1.0,0.0,0.0,0
23,44,9,147,105,1,0.0,1.0,0.0,1,0.0,0.85,0.0,0
24,35,5,0,0,248,1.0,0.01,0.06,2,0.01,0.06,1.0,1
25,60,9,437,14421,1,0.0,1.0,0.0,25,0.1,0.05,0.53,0
26,49,5,0,0,279,1.0,0.03,0.06,13,0.05,0.07,1.0,1
27,24,9,227,6588,5,0.0,1.0,0.0,255,1.0,0.0,0.0,0
28,24,9,215,10499,14,0.0,1.0,0.0,255,1.0,0.0,0.0,0
29,24,9,241,1400,33,0.0,1.0,0.0,255,1.0,0.0,0.0,0
30,14,9,8,0,1,0.0,1.0,0.0,53,1.0,0.0,0.0,1
31,18,5,0,0,57,1.0,0.28,0.07,59,0.23,0.04,1.0,1
32,24,9,303,555,9,0.0,1.0,0.0,255,1.0,0.0,0.0,0
33,49,1,0,0,2,0.0,0.5,1.0,1,0.0,0.31,0.0,1
34,12,9,45,45,181,0.0,1.0,0.0,250,0.98,0.01,0.0,0
35,49,9,105,147,2,0.0,1.0,0.0,5,0.12,0.05,0.0,0
36,12,9,43,43,122,0.0,1.0,0.0,255,1.0,0.0,0.0,0
37,58,5,0,0,205,1.0,0.08,0.06,17,0.07,0.07,1.0,1
38,24,9,324,2302,22,0.0,1.0,0.0,255,1.0,0.0,0.0,0
39,67,5,0,0,228,1.0,0.06,0.07,13,0.05,0.07,1.0,1
40,20,5,0,0,50,1.0,0.22,0.08,63,0.25,0.02,1.0,1
