,dur,sbytes,dbytes,rate,sttl,dttl,sload,dload,dinpkt,smean,dmean,ct_state_ttl,label
0,1.1e-05,496,0,90909.0902,254,0,180363632.0,0.0,0.0,248,0,2,0
1,8e-06,1762,0,125000.0003,254,0,881000000.0,0.0,0.0,881,0,2,0
2,5e-06,1068,0,200000.0051,254,0,854400000.0,0.0,0.0,534,0,2,0
3,6e-06,900,0,166666.6608,254,0,600000000.0,0.0,0.0,450,0,2,0
4,1e-05,2126,0,100000.0025,254,0,850400000.0,0.0,0.0,1063,0,2,0
5,3e-06,784,0,333333.3215,254,0,1045333312.0,0.0,0.0,392,0,2,0
6,6e-06,1960,0,166666.6608,254,0,1306666624.0,0.0,0.0,980,0,2,0
7,2.8000000000000003e-05,1384,0,35714.28522,254,0,197714288.0,0.0,0.0,692,0,2,0
8,0.0,46,0,0.0,0,0,0.0,0.0,0.0,46,0,2,0
9,0.0,46,0,0.0,0,0,0.0,0.0,0.0,46,0,2,0
10,0.0,46,0,0.0,0,0,0.0,0.0,0.0,46,0,2,0
11,0.0,46,0,0.0,0,0,0.0,0.0,0.0,46,0,2,0
12,4e-06,1454,0,250000.0006,254,0,1454000000.0,0.0,0.0,727,0,2,0
13,7.000000000000001e-06,2062,0,142857.1409,254,0,1178285696.0,0.0,0.0,1031,0,2,0
14,1.1e-05,2040,0,90909.0902,254,0,741818176.0,0.0,0.0,1020,0,2,0
15,4e-06,1052,0,250000.0006,254,0,1052000000.0,0.0,0.0,526,0,2,0
16,3e-06,314,0,333333.3215,254,0,418666656.0,0.0,0.0,157,0,2,0
17,1e-05,1774,0,100000.0025,254,0,709600000.0,0.0,0.0,887,0,2,0
18,2e-06,1568,0,500000.0013,254,0,3136000000.0,0.0,0.0,784,0,2,0
19,4e-06,2054,0,250000.0006,254,0,2054000000.0,0.0,0.0,1027,0,2,0
20,1e-05,2170,0,100000.0025,254,0,868000000.0,0.0,0.0,1085,0,2,0
21,9e-06,202,0,111111.1072,254,0,89777776.0,0.0,0.0,101,0,2,0
22,1e-05,1334,0,100000.0025,254,0,533600000.0,0.0,0.0,667,0,2,0
23,5e-06,2058,0,200000.0051,254,0,1646400000.0,0.0,0.0,1029,0,2,0
24,3e-06,286,0,333333.3215,254,0,381333312.0,0.0,0.0,143,0,2,0
25,7.000000000000001e-06,1500,0,142857.1409,254,0,857142848.0,0.0,0.0,750,0,2,0
26,6e-06,902,0,166666.6608,254,0,601333312.0,0.0,0.0,451,0,2,0
27,2e-06,1626,0,500000.0013,254,0,3252000000.0,0.0,0.0,813,0,2,0
28,7.000000000000001e-06,364,0,142857.1409,254,0,208000000.0,0.0,0.0,182,0,2,0
29,1.434166,530,268,10.459041000000001,254,252,2660.780029,1249.506714,270.88681299999996,53,45,1,0
30,7.000000000000001e-06,730,0,142857.1409,254,0,417142848.0,0.0,0.0,365,0,2,0
31,1.9242869999999999,530,354,8.834441,254,252,1983.0722660000001,1288.7890619999998,261.252,53,44,1,0
32,2.773779,7954,354,7.570899000000001,254,252,21302.3457,894.0870970000001,381.293437,568,44,1,0
33,1e-05,794,0,100000.0025,254,0,317600000.0,0.0,0.0,397,0,2,0
34,1.465041,2516,354,11.603769999999999,254,252,12368.25391,1692.7854,195.494719,252,44,1,0
35,0.983874,816,1172,17.278635,62,252,5976.375,8342.53125,124.93285900000001,82,147,1,0
36,0.714182,534,268,21.003049,254,252,5387.982422,2509.164307,120.19139799999999,53,45,1,0
37,59.995674,92,0,0.016668000000000002,0,0,6.133776,0.0,0.0,46,0,2,0
38,59.995678000000005,92,0,0.016668000000000002,0,0,6.133775,0.0,0.0,46,0,2,0
39,59.995674,92,0,0.016668000000000002,0,0,6.133776,0.0,0.0,46,0,2,0
40,1.5352540000000001,826,1266,12.375802,62,252,3876.882812,5940.385254,159.07056200000002,83,127,1,0
41,59.995678000000005,92,0,0.016668000000000002,0,0,6.133775,0.0,0.0,46,0,2,0
42,0.7572949999999999,534,268,19.80734,254,252,5081.243164,2366.316895,123.799203,53,45,1,0
